Name,Group,Code,Grade,Length,Compilsory,profession,Continue_semester,Lecture,Experiment,Computer_room,Teacher_code,semester,Day,Koma
主専攻実験,0001,10414,3,2,1,1,1,0,1,1,0001,1,3,3
主専攻実験,0001,10414,3,2,1,1,1,0,1,1,0001,1,3,4
主専攻実験,0001,10414,3,2,1,1,1,0,1,1,0001,1,5,4
主専攻実験,0001,10414,3,2,1,1,1,0,1,1,0001,1,5,5
主専攻実験,0001,10414,3,2,1,1,1,0,1,1,0001,2,3,3
主専攻実験,0001,10414,3,2,1,1,1,0,1,1,0001,2,3,4
主専攻実験,0001,10414,3,2,1,1,1,0,1,1,0001,2,5,4
主専攻実験,0001,10414,3,2,1,1,1,0,1,1,0001,2,5,5
主専攻実験,0001,10414,3,2,1,1,1,0,1,1,0001,3,3,3
主専攻実験,0001,10414,3,2,1,1,1,0,1,1,0001,3,3,4
主専攻実験,0001,10414,3,2,1,1,1,0,1,1,0001,3,5,4
主専攻実験,0001,10414,3,2,1,1,1,0,1,1,0001,3,5,5
主専攻実験,0001,10414,3,2,1,2,1,0,1,1,0001,1,3,3
主専攻実験,0001,10414,3,2,1,2,1,0,1,1,0001,1,3,4
主専攻実験,0001,10414,3,2,1,2,1,0,1,1,0001,1,5,4
主専攻実験,0001,10414,3,2,1,2,1,0,1,1,0001,1,5,5
主専攻実験,0001,10414,3,2,1,2,1,0,1,1,0001,2,3,3
主専攻実験,0001,10414,3,2,1,2,1,0,1,1,0001,2,3,4
主専攻実験,0001,10414,3,2,1,2,1,0,1,1,0001,2,5,4
主専攻実験,0001,10414,3,2,1,2,1,0,1,1,0001,2,5,5
主専攻実験,0001,10414,3,2,1,2,1,0,1,1,0001,3,3,3
主専攻実験,0001,10414,3,2,1,2,1,0,1,1,0001,3,3,4
主専攻実験,0001,10414,3,2,1,2,1,0,1,1,0001,3,5,4
主専攻実験,0001,10414,3,2,1,2,1,0,1,1,0001,3,5,5
主専攻実験,0001,10414,3,2,1,3,1,0,1,1,0001,1,3,3
主専攻実験,0001,10414,3,2,1,3,1,0,1,1,0001,1,3,4
主専攻実験,0001,10414,3,2,1,3,1,0,1,1,0001,1,5,4
主専攻実験,0001,10414,3,2,1,3,1,0,1,1,0001,1,5,5
主専攻実験,0001,10414,3,2,1,3,1,0,1,1,0001,2,3,3
主専攻実験,0001,10414,3,2,1,3,1,0,1,1,0001,2,3,4
主専攻実験,0001,10414,3,2,1,3,1,0,1,1,0001,2,5,4
主専攻実験,0001,10414,3,2,1,3,1,0,1,1,0001,2,5,5
主専攻実験,0001,10414,3,2,1,3,1,0,1,1,0001,3,3,3
主専攻実験,0001,10414,3,2,1,3,1,0,1,1,0001,3,3,4
主専攻実験,0001,10414,3,2,1,3,1,0,1,1,0001,3,5,4
主専攻実験,0001,10414,3,2,1,3,1,0,1,1,0001,3,5,5
