Name,Group,Code,Grade,Length,Compilsory,profession,Continue_semester,Lecture,Experiment,Computer_room,Teacher_code
並列処理アーキテクチャ,並列処理1,31102,3,2,0,2,1,1,0,0,0034
統計学,統計学1,41204,3,2,0,3,1,1,0,0,0035
統計学,統計学1,41205,3,2,0,3,1,1,0,0,0035
信号処理概論,信号処理1,40101,3,1,0,3,1,1,0,0,0036
自然言語処理,自然言語1,41601,3,2,0,3,1,1,0,0,0037
自然言語処理,自然言語1,41602,3,2,0,3,1,1,0,0,0037
情報確率過程,情報確率1,21901,3,2,0,1,2,1,0,0,0038
情報確率過程,情報確率1,21902,3,2,0,1,2,1,0,0,0038
宣言型プログラム論,プログラム理論1,20204,3,2,0,1,1,1,0,0,0034
宣言型プログラム論,プログラム理論1,20205,3,2,0,1,1,1,0,0,0034
プログラム言語処理,プログラム言語2,31301,3,2,0,2,1,1,0,0,0035
プログラム言語処理,プログラム言語2,31302,3,2,0,2,1,1,0,0,0035
オペレーティングシステムⅠ,コンピュータアーキテクチャ2,30401,3,2,0,2,1,1,0,0,0036
オペレーティングシステムⅠ,コンピュータアーキテクチャ2,30402,3,2,0,2,1,1,0,0,0036
オペレーティングシステムⅡ,コンピュータアーキテクチャ3,31801,3,1,0,2,1,1,0,0,0036
機械学習,機械学習1,42404,3,2,0,3,1,1,0,0,0037
機械学習,機械学習1,42405,3,2,0,3,1,1,0,0,0037
画像メディア工学,画像メディア1,42201,3,2,0,3,1,1,0,0,0038
画像メディア工学,画像メディア1,42201,3,2,0,3,1,1,0,0,0038
分散システム,システムプログラム2,31901,3,1,0,2,1,1,0,0,0039
メディア通信工学,メディア通信1,42001,3,2,0,3,1,1,0,0,0040
メディア通信工学,メディア通信1,42002,3,2,0,3,1,1,0,0,0040
数理アルゴリズム,数値1,20201,3,2,0,1,1,1,0,0,0041
数理アルゴリズム,数値1,20201,3,2,0,1,1,1,0,0,0041
システムプログラム,システムプログラム1,31401,3,2,0,2,1,1,0,0,0045
システムプログラム,システムプログラム1,31402,3,2,0,2,1,0,1,1,0045
プログラム理論,プログラム理論1,21101,3,2,0,1,1,1,0,0,0046
プログラム理論,プログラム理論1,21102,3,2,0,1,1,1,0,0,0046
数値シミュレーション,数値2,22201,3,2,0,1,1,1,0,0,0047
数値シミュレーション,数値2,22202,3,2,0,1,1,1,0,0,0047
データベース概論Ⅰ,データベース1,31301,3,2,0,2,1,1,0,0,0048
データベース概論Ⅰ,データベース1,31302,3,2,0,2,1,1,0,0,0048
データベース概論Ⅱ,データベース2,31601,3,2,0,2,1,1,0,0,0049
データベース概論Ⅱ,データベース2,31602,3,2,0,2,1,1,0,0,0049
ソフトウェア工学,ソフトウェア1,31501,3,2,0,2,1,1,0,0,0050
ソフトウェア工学,ソフトウェア1,31502,3,2,0,2,1,1,0,0,0050
知識処理概論,知識処理概論1,41901,3,2,0,3,1,1,0,0,0051
知識処理概論,知識処理概論1,41902,3,2,0,3,1,1,0,0,0051
オートマトンと形式言語,オートマトン1,21601,3,2,0,1,1,1,0,0,0052
オートマトンと形式言語,オートマトン1,21602,3,2,0,1,1,1,0,0,0052
電子回路,電気回路2,32201,3,2,0,2,1,1,0,0,0053
電子回路,電気回路2,32202,3,2,0,2,1,1,0,0,0053
ディジタル信号処理,信号処理2,41401,3,2,0,3,1,1,0,0,0054
ディジタル信号処理,信号処理2,41402,3,2,0,3,1,1,0,0,0054
ヒューマンインターフェース,ヒューマン1,40301,3,2,0,3,1,1,0,0,0055
ヒューマンインターフェース,ヒューマン1,40302,3,2,0,3,1,1,0,0,0055
数理メディア情報学,数理メディア1,22101,3,2,0,1,1,1,0,0,0056
数理メディア情報学,数理メディア1,22102,3,2,0,1,1,1,0,0,0056
計算モデル論,計算モデル1,21504,3,2,0,1,1,1,0,0,0057
計算モデル論,計算モデル1,21505,3,2,0,1,1,1,0,0,0057
情報検索概論,データベース１,31701,3,2,0,2,1,1,0,0,0058
情報検索概論,データベース１,31702,3,2,0,2,1,1,0,0,0058
VLSI工学,VLSI1,31201,3,2,0,2,1,1,0,0,0059
VLSI工学,VLSI1,31202,3,2,0,2,1,1,0,0,0059
生体情報科学概論,生体科学1,41701,3,2,0,3,1,1,0,0,0060
生体情報科学概論,生体科学1,41702,3,2,0,3,1,1,0,0,0060
画像認識工学,画像認識1,42301,3,2,0,3,1,1,0,0,0061
画像認識工学,画像認識1,42302,3,2,0,3,1,1,0,0,0061
計算論理,プログラム理論2,21404,3,2,0,1,1,1,0,0,0062
計算論理,プログラム理論2,21405,3,2,0,1,1,1,0,0,0062
システム検証論,システム検証1,21701,3,2,0,1,1,1,0,0,0063
システム検証論,システム検証1,21702,3,2,0,1,1,1,0,0,0063
確率的知識処理,確率的知識処理1,41801,3,2,0,3,1,1,0,0,0064
確率的知識処理,確率的知識処理1,41802,3,2,0,3,1,1,0,0,0064
ソフトウェアサイエンスセミナー,ソフトウェアサイエンスセミナー1,21801,3,2,0,1,2,1,0,0,0065
ソフトウェアサイエンスセミナー,ソフトウェアサイエンスセミナー1,21802,3,2,0,1,2,1,0,0,0065
人工知能,人工知能1,20301,3,2,0,1,1,1,0,0,0066
人工知能,人工知能1,20302,3,2,0,1,1,1,0,0,0066
コンピュータネットワーク,コンピュータネットワーク1,30101,3,2,0,2,1,1,0,0,0067
コンピュータネットワーク,コンピュータネットワーク1,30102,3,2,0,2,1,1,0,0,0067
認知科学概論,認知科学1,41101,3,1,0,3,1,1,0,0,0068
情報セキュリティ,セキュリティ1,49901,3,2,0,3,1,1,0,0,0069
情報セキュリティ,セキュリティ1,49902,3,2,0,3,1,1,0,0,0069
情報線形代数,情報線形代数1,29901,3,2,0,1,1,1,0,0,0070
情報線形代数,情報線形代数1,29902,3,2,0,1,1,1,0,0,0070
